City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
69,Lorengau,PG,-2.0226,147.2712,85.44,62,100,5.06,overcast clouds
70,Katsuura,JP,35.1333,140.3,55.42,73,80,24.45,broken clouds
71,Tazovskiy,RU,67.4667,78.7,15.84,90,78,12.8,broken clouds
72,Acapulco,MX,16.8634,-99.8901,84.02,79,20,12.66,light rain
73,Kumylzhenskaya,RU,49.8809,42.5898,43.12,66,90,5.37,overcast clouds
74,Coquimbo,CL,-29.9533,-71.3436,58.35,74,1,3.71,clear sky
75,Khatanga,RU,71.9667,102.5,1.35,99,87,6.33,overcast clouds
76,Manakara,MG,-22.1333,48.0167,73.49,79,90,10.6,overcast clouds
77,Vaitape,PF,-16.5167,-151.75,79.63,77,100,23.58,light rain
78,Port Alfred,ZA,-33.5906,26.891,60.19,91,99,4.0,overcast clouds
79,Nkowakowa,ZA,-23.8878,30.2871,78.35,44,34,3.36,scattered clouds
80,Bambous Virieux,MU,-20.3428,57.7575,72.21,79,9,12.88,light rain
81,Lompoc,US,34.6391,-120.4579,78.01,66,0,25.32,clear sky
82,New Norfolk,AU,-42.7826,147.0587,55.9,84,100,4.0,overcast clouds
83,Ilulissat,GL,69.2167,-51.1,26.62,93,100,4.61,light snow
84,Taywarah,AF,33.35,64.4167,39.16,50,7,2.68,clear sky
85,Kishi,NG,9.0833,3.85,73.74,89,98,5.28,overcast clouds
86,Chuy,UY,-33.6971,-53.4616,59.36,84,11,11.43,few clouds
87,Kununurra,AU,-15.7667,128.7333,85.98,79,10,0.0,clear sky
88,Norman Wells,CA,65.282,-126.8329,19.44,93,75,4.61,broken clouds
89,Mayo,US,38.8876,-76.5119,62.2,94,100,0.0,mist
90,San Patricio,US,28.017,-97.5169,77.09,23,0,6.64,clear sky
91,Komsomolskiy,UZ,40.4272,71.7189,56.12,76,40,6.91,scattered clouds
92,East London,ZA,-33.0153,27.9116,64.02,69,100,10.09,overcast clouds
93,Malpe,IN,13.35,74.7167,74.5,81,4,4.25,clear sky
94,Kodiak,US,57.79,-152.4072,45.91,76,75,0.0,broken clouds
