City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
346,Salalah,OM,75.29,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
351,Isangel,VU,80.71,broken clouds,-19.55,169.2667,Tanna Lodge
354,Sinnamary,GF,80.44,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
356,Gwanda,ZW,77.02,clear sky,-20.9333,29.0,Mafax Homeways
367,Omboue,GA,76.78,overcast clouds,-1.5746,9.2618,Hotel Olako
370,Tabou,CI,77.25,moderate rain,4.423,-7.3528,hotêl doufoulougou
375,Humberto De Campos,BR,78.53,overcast clouds,-2.5983,-43.4611,Pousada do Cabeça
380,Vung Tau,VN,80.24,overcast clouds,10.346,107.0843,Seaside Resort
382,Maceio,BR,76.44,clear sky,-9.6658,-35.7353,Hotel Ponta Verde Maceió
384,Dori,BF,86.9,clear sky,14.0354,-0.0345,Hôtel Liptako
385,Labuhan,ID,78.19,overcast clouds,-6.8844,112.2051,DoubleFAG
386,Rosarito,MX,77.41,clear sky,32.3333,-117.0333,Hotel Festival Plaza Rosarito
395,Kieta,PG,85.15,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
399,Hithadhoo,MV,82.38,scattered clouds,-0.6,73.0833,Scoop Guest House
408,Cabedelo,BR,77.67,broken clouds,-6.9811,-34.8339,Pousada Camboinha
410,Bayeux,BR,77.63,few clouds,-7.125,-34.9322,Infinity Motel
412,Ballina,AU,82.44,scattered clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
420,Umm Lajj,SA,78.22,clear sky,25.0213,37.2685,Moon light Furnished Units
421,Guayaramerin,BO,81.81,overcast clouds,-10.8368,-65.3614,Hostal FÜNF
423,Soto La Marina,MX,76.77,broken clouds,23.7667,-98.2167,Hotel Chicago
424,Tirumullaivasal,IN,78.28,scattered clouds,11.2333,79.8333,Crematorium
425,Muisne,EC,75.07,overcast clouds,0.6,-80.0333,Quinta Samay
430,Jizan,SA,84.69,clear sky,17.3333,42.6667,شهدان. ابوالحجر
443,Santa Fe,AR,80.02,overcast clouds,-31.6333,-60.7,Conquistador Hotel
445,Macaracas,PA,78.51,light rain,7.7333,-80.55,"Macaracas, Los Santos"
456,Ambon,ID,82.54,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
458,Sao Jose De Ribamar,BR,82.78,broken clouds,-2.5619,-44.0542,Mediterrânea Hotel e Restaurante
475,Padang,ID,75.87,moderate rain,-0.9492,100.3543,Mercure Padang
477,Karratha,AU,77.56,clear sky,-20.7377,116.8463,ibis Styles Karratha
478,Carauari,BR,77.41,overcast clouds,-4.8828,-66.8958,Hotel Fellip
483,Siavonga,ZM,82.63,scattered clouds,-16.5382,28.7088,Lavongora Waterfront Lodge
487,Ocos,GT,86.18,scattered clouds,14.5094,-92.1933,Auto Hotel El Soñador
489,Touros,BR,78.01,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
495,Alice Springs,AU,78.35,clear sky,-23.7,133.8833,Desert Palms Alice Springs
498,Mahajanga,MG,78.82,scattered clouds,-15.7167,46.3167,Hôtel Restaurant Gourmand Coco Lodge Majunga
502,Biltine,TD,75.18,clear sky,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
505,The Valley,AI,82.81,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
510,Santo Antonio Do Ica,BR,76.12,overcast clouds,-3.1022,-67.9397,HOTEL AMAZON WAY
512,Makakilo City,US,86.32,scattered clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
513,Fayaoue,NC,75.34,broken clouds,-20.65,166.5333,Chez Dydyce Guesthouse
517,Robertsport,LR,79.66,scattered clouds,6.7533,-11.3686,Kwepunha Retreat
520,Port Keats,AU,87.37,scattered clouds,-14.25,129.55,Kardu Durrikardu Numida Hostel
521,Arlit,NE,78.42,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
528,Ascension,US,75.2,clear sky,30.2169,-90.9001,Highland Inn
529,Guanica,PR,80.19,overcast clouds,17.9716,-66.908,Copamarina Beach Resort & Spa
532,Singleton,AU,75.92,scattered clouds,-32.5667,151.1833,Quest Singleton
534,Noumea,NC,84.18,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
535,Weligama,LK,75.9,overcast clouds,5.9667,80.4167,Weligama Bay Resort
542,Cam Ranh,VN,76.96,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
552,Kalabo,ZM,77.47,broken clouds,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
556,Santa Marta,CO,79.9,overcast clouds,11.2408,-74.199,Hotel La Ballena Azul
559,Takoradi,GH,77.86,broken clouds,4.8845,-1.7554,Raybow International Hotel
560,Iquitos,PE,81.93,moderate rain,-3.7481,-73.2472,Cortez Malaga Techy Caroly
562,Kirakira,SB,85.55,clear sky,-10.4544,161.9205,SanBiz Lodge
563,Chabahar,IR,82.13,clear sky,25.2919,60.643,هتل گدروشیا
564,Phan Thiet,VN,76.33,overcast clouds,10.9333,108.1,Hotel Saigon-PT
